feature,label,design_axis,placement,point_index,x,y,baseline,x_5pct,x_95pct,training_support_n,unique_values
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,38,0.27487074,1.8695859,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,39,0.27949224,1.8695859,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,40,0.28411374,1.8695859,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,41,0.28873524,1.8695859,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,42,0.29335674,1.8695859,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,43,0.29797824,1.8695859,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,44,0.30259974,1.8695859,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,45,0.30722124,1.8695859,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,46,0.31184274,1.8695859,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,47,0.31646424,1.8695859,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,48,0.32108574,1.8695859,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,49,0.32570724,1.8695859,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,50,0.33032874,1.8695859,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,51,0.33495024,1.8695859,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,52,0.33957174,1.8695859,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,53,0.34419324,1.8695859,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,54,0.34881474,1.8695859,1.8687346,0.099253731,0.34881474,1844,432
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,0,0.25,1.86161,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,1,0.39351852,1.86161,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,2,0.53703704,1.86161,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,3,0.68055556,1.86161,1.8687346,0.25,8,1884,189
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,4,0.82407407,1.8624507,1.8687346,0.25,8,1884,189
