feature,display_label,design_axis,status,n_non_missing,unique_values,x_5pct,x_95pct,training_support_n,response_amplitude_log10,response_direction_5pct_to_95pct,importance_mean,importance_std,full_model_importance_rank,selection_frequency
aem__channel_formation_index,Channel formation index,packing/accessibility,excluded_not_selected_in_reference_model,2049,380,0.0,0.2185665952841103,1948,0.0,,0.0,,,
aem__channel_index_contrast,Channel index contrast,packing/accessibility,excluded_not_selected_in_reference_model,2049,175,0.0,0.2622740503601488,1967,0.0,,0.0,,,
aem__channel_index_harmonic,Channel index harmonic,packing/accessibility,excluded_not_selected_in_reference_model,2049,445,0.1071743069237965,0.3277499744944696,1857,0.0,,0.0,,,
aem__fluorination_contrast,Fluorination contrast,hydrophobic balance,excluded_not_selected_in_reference_model,2049,40,0.0,0.1621621621621621,1950,0.0,,0.0,,,
aem__free_volume_contrast,Free volume contrast,packing/accessibility,excluded_not_selected_in_reference_model,2049,165,0.0,0.2835820895522388,1970,0.0,,0.0,,,
aem__hydration_overlap_harmonic,Hydration overlap harmonic,hydration/network,excluded_not_selected_in_reference_model,2049,446,0.0345589134056688,0.2339871762126973,1845,0.0,,0.0,,,
aem__hydrophilic_contrast,Hydrophilic contrast,hydration/network,excluded_not_selected_in_reference_model,2049,160,0.0,0.1861111111111111,1949,0.0,,0.0,,,
aem__hydrophobicity_contrast,Hydrophobicity contrast,hydrophobic balance,excluded_not_selected_in_reference_model,2049,175,0.0,3.899512878787881,1947,0.0,,0.0,,,
aem__ionic_site_localization_flag,Ionic site localization flag,cation exposure,excluded_not_selected_in_reference_model,2049,2,0.0,0.0,1986,0.0,,0.0,,,
aem__rigidity_contrast,Rigidity contrast,backbone/rigidity chemistry,excluded_not_selected_in_reference_model,2049,106,0.0,1.7708333333333337,1953,0.0,,0.0,,,
aem__segregation_index,Segregation index,AEM descriptor,excluded_not_selected_in_reference_model,2049,357,0.0,0.6773582307238258,1947,0.0,,0.0,,,
aem__neutral_ionogenic_fraction,Neutral ionogenic fraction,AEM descriptor,excluded_low_unique_or_collapsed_range,2049,13,0.0,0.0,1960,0.0,,-1.332027633534766e-06,9.64209331873317e-06,38.0,1.0
aem__localization_penalty_contrast,Localization penalty contrast,cation exposure,excluded_not_selected_in_reference_model,2049,112,0.0,1.7539473684210527,1948,0.0,,-0.0006479198089844,0.0002954996104678,52.0,
